"AccessControlType","ActiveDirectoryRights","AdcsSeverity","AdminCount","AffectedObjects","CACertificate","Category","CertificateRevocationList","CertificateTemplates","CheckId","CheckName","Cn","Description","Detail","DisplayName","DistinguishedName","DnsHostName","Error","EscCheckId","FileSystemRights","FindingCount","FindingDetail","flags","flatName","fSMORoleOwner","gPCFileSysPath","gPLink","GpoFolder","GptTmplPath","IdentityReference","lastLogonTimestamp","lockoutDuration","lockoutThreshold","logonHours","MatchedDangerousRights","maxPwdAge","member","memberOf","minPwdAge","minPwdLength","msDFSR-ReplicationGroupType","msDS-Behavior-Version","ms-DS-MachineAccountQuota","msDS-SupportedEncryptionTypes","ms-Mcs-AdmPwdExpirationTime","MsPKICertificateNameFlag","MsPKIEnrollmentFlag","MsPKIPrivateKeyFlag","MsPKIRASignature","MsPKITemplateMinorRevision","MsPKITemplateSchemaVersion","Name","NTSecurityDescriptor","ObjectClass","objectSid","ObjectType","OperatingSystem","operatingSystemVersion","ou","ParsedDword","PKIExtendedKeyUsage","primaryGroupID","Principal","PrincipalSID","pwdHistoryLength","pwdLastSet","pwdProperties","RawValue","RegistryKeyLine","Remediation","Result","rIDManagerReference","RuleId","SamAccountName","ScanNote","ScanTimeUtc","securityIdentifier","serverReferenceBL","servicePrincipalName","Severity","SourcePath","Title","trustAttributes","trustDirection","trustPartner","trustType","UserAccountControl","UserCertificate","versionNumber","Violations","WhenChanged","WhenCreated"
"","","","1","","","","","","ACC-001","Privileged Users adminCount1","","Misconfiguration: user accounts with adminCount=1 (protected object flag); review for inappropriate persistence of admin protection.","","","CN=Administrator,CN=Users,DC=sevenkingdoms,DC=local","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Administrator","","top","","","","","","","","","","","","","","","","","Fail","","","Administrator","","","","","","high","Access_Control/ACC-001_Privileged_Users_adminCount1/adsi.ps1","","","","","","66048","","","","3/6/2026 2:48:57 AM","3/5/2026 11:16:20 AM"
"","","","1","","","","","","ACC-001","Privileged Users adminCount1","","Misconfiguration: user accounts with adminCount=1 (protected object flag); review for inappropriate persistence of admin protection.","","","CN=vagrant,CN=Users,DC=sevenkingdoms,DC=local","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","vagrant","","top","","","","","","","","","","","","","","","","","Fail","","","vagrant","","","","","","high","Access_Control/ACC-001_Privileged_Users_adminCount1/adsi.ps1","","","","","","66048","","","","4/1/2026 6:11:53 AM","3/5/2026 11:16:20 AM"
"","","","1","","","","","","ACC-001","Privileged Users adminCount1","","Misconfiguration: user accounts with adminCount=1 (protected object flag); review for inappropriate persistence of admin protection.","","","CN=cersei.lannister,OU=Crownlands,DC=sevenkingdoms,DC=local","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cersei.lannister","","top","","","","","","","","","","","","","","","","","Fail","","","cersei.lannister","","","","","","high","Access_Control/ACC-001_Privileged_Users_adminCount1/adsi.ps1","","","","","","66048","","","","3/6/2026 4:37:55 AM","3/5/2026 11:35:55 PM"
"","","","1","","","","","","ACC-001","Privileged Users adminCount1","","Misconfiguration: user accounts with adminCount=1 (protected object flag); review for inappropriate persistence of admin protection.","","","CN=robert.baratheon,OU=Crownlands,DC=sevenkingdoms,DC=local","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","robert.baratheon","","top","","","","","","","","","","","","","","","","","Fail","","","robert.baratheon","","","","","","high","Access_Control/ACC-001_Privileged_Users_adminCount1/adsi.ps1","","","","","","66048","","","","3/6/2026 4:38:10 AM","3/5/2026 11:36:38 PM"
"","","","1","","","","","","ACC-002","Privileged Groups adminCount1","","Misconfiguration: security groups with adminCount=1; review membership and whether protection is expected.","","","CN=Administrators,CN=Builtin,DC=sevenkingdoms,DC=local","","","","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Administrators","","top","","","","","","","","","","","","","","","","","Fail","","","","","","","","","high","Access_Control/ACC-002_Privileged_Groups_adminCount1/adsi.ps1","","","","","","","","","","3/6/2026 5:35:21 AM","3/5/2026 11:16:20 AM"
"","","","1","","","","","","ACC-002","Privileged Groups adminCount1","","Misconfiguration: security groups with adminCount=1; review membership and whether protection is expected.","","","CN=Print Operators,CN=Builtin,DC=sevenkingdoms,DC=local","","","","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Print Operators","","top","","","","","","","","","","","","","","","","","Fail","","","","","","","","","high","Access_Control/ACC-002_Privileged_Groups_adminCount1/adsi.ps1","","","","","","","","","","3/6/2026 2:48:57 AM","3/5/2026 11:16:20 AM"
"","","","1","","","","","","ACC-002","Privileged Groups adminCount1","","Misconfiguration: security groups with adminCount=1; review membership and whether protection is expected.","","","CN=Backup Operators,CN=Builtin,DC=sevenkingdoms,DC=local","","","","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Backup Operators","","top","","","","","","","","","","","","","","","","","Fail","","","","","","","","","high","Access_Control/ACC-002_Privileged_Groups_adminCount1/adsi.ps1","","","","","","","","","","3/6/2026 2:48:57 AM","3/5/2026 11:16:20 AM"
"","","","1","","","","","","ACC-002","Privileged Groups adminCount1","","Misconfiguration: security groups with adminCount=1; review membership and whether protection is expected.","","","CN=Replicator,CN=Builtin,DC=sevenkingdoms,DC=local","","","","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Replicator","","top","","","","","","","","","","","","","","","","","Fail","","","","","","","","","high","Access_Control/ACC-002_Privileged_Groups_adminCount1/adsi.ps1","","","","","","","","","","3/6/2026 2:48:57 AM","3/5/2026 11:16:20 AM"
"","","","1","","","","","","ACC-002","Privileged Groups adminCount1","","Misconfiguration: security groups with adminCount=1; review membership and whether protection is expected.","","","CN=Domain Controllers,CN=Users,DC=sevenkingdoms,DC=local","","","","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domain Controllers","","top","","","","","","","","","","","","","","","","","Fail","","","","","","","","","high","Access_Control/ACC-002_Privileged_Groups_adminCount1/adsi.ps1","","","","","","","","","","3/6/2026 2:48:57 AM","3/5/2026 11:22:11 AM"
"","","","1","","","","","","ACC-002","Privileged Groups adminCount1","","Misconfiguration: security groups with adminCount=1; review membership and whether protection is expected.","","","CN=Schema Admins,CN=Users,DC=sevenkingdoms,DC=local","","","","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Schema Admins","","top","","","","","","","","","","","","","","","","","Fail","","","","","","","","","high","Access_Control/ACC-002_Privileged_Groups_adminCount1/adsi.ps1","","","","","","","","","","3/6/2026 2:48:57 AM","3/5/2026 11:22:11 AM"
"","","","1","","","","","","ACC-002","Privileged Groups adminCount1","","Misconfiguration: security groups with adminCount=1; review membership and whether protection is expected.","","","CN=Enterprise Admins,CN=Users,DC=sevenkingdoms,DC=local","","","","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enterprise Admins","","top","","","","","","","","","","","","","","","","","Fail","","","","","","","","","high","Access_Control/ACC-002_Privileged_Groups_adminCount1/adsi.ps1","","","","","","","","","","3/6/2026 2:48:57 AM","3/5/2026 11:22:11 AM"
"","","","1","","","","","","ACC-002","Privileged Groups adminCount1","","Misconfiguration: security groups with adminCount=1; review membership and whether protection is expected.","","","CN=Domain Admins,CN=Users,DC=sevenkingdoms,DC=local","","","","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Domain Admins","","top","","","","","","","","","","","","","","","","","Fail","","","","","","","","","high","Access_Control/ACC-002_Privileged_Groups_adminCount1/adsi.ps1","","","","","","","","","","3/6/2026 1:58:01 AM","3/5/2026 11:22:11 AM"
